127.0.0.1 - - [30/Jun/2021:15:34:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:34:06 +0900] "GET /bnpp/ HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:34:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:34:13 +0900] "GET /bnpp/lecturelist.do HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:34:18 +0900] "GET /bnpp/lectureselect.do?lecture_num=1 HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:34:20 +0900] "GET /bnpp/lectureupdate.do?lecture_num=1 HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:34:36 +0900] "GET /bnpp/lectureupdateres.do?lecture_category=%ED%95%9C%EC%8B%9D&lecture_name=%ED%95%9C%EC%8B%9D+%ED%8C%A8%ED%82%A4%EC%A7%802&lecture_content=%ED%95%9C%EC%8B%9D%EC%9D%84+%EB%B0%B0%EC%9A%B8+%EC%88%98+%EC%9E%88%EC%8A%B5%EB%8B%88%EB%8B%A4&lecture_price=39800 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:34:36 +0900] "GET /bnpp/lectureupdate.do?lecture_num=0 HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:36:35 +0900] "GET /bnpp/lectureselect.do?lecture_num=1 HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:36:36 +0900] "GET /bnpp/lectureselect.do?lecture_num=1 HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:36:37 +0900] "GET /bnpp/lectureselect.do?lecture_num=1 HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:36:37 +0900] "GET /bnpp/lectureselect.do?lecture_num=1 HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:36:38 +0900] "GET /bnpp/lectureselect.do?lecture_num=1 HTTP/1.1" 200 933
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:36:41 +0900] "GET /bnpp/lectureupdate.do?lecture_num=1 HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:36:46 +0900] "GET /bnpp/lectureupdateres.do?lecture_num=1&lecture_category=%ED%95%9C%EC%8B%9D&lecture_name=%ED%95%9C%EC%8B%9D+%ED%8C%A8%ED%82%A4%EC%A7%802&lecture_content=%ED%95%9C%EC%8B%9D%EC%9D%84+%EB%B0%B0%EC%9A%B8+%EC%88%98+%EC%9E%88%EC%8A%B5%EB%8B%88%EB%8B%A4123&lecture_price=39800 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:36:46 +0900] "GET /bnpp/lectureselect.do?lecture_num=1 HTTP/1.1" 200 937
0:0:0:0:0:0:0:1 - - [30/Jun/2021:15:36:48 +0900] "GET /bnpp/lecturelist.do HTTP/1.1" 200 923
